,Title,Conference,Type,Application,MLTech,OpenReviewLink
,Hierarchical Grammar-Induced Geometry for Data-Efficient Molecular Property Prediction,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=8AvuAnSNOF
,Implicit Neural Spatial Representations for Time-dependent PDEs,ICML_2023,Poster,Math,,https://proceedings.mlr.press/v202/chen23af.html
,Importance Weighted Expectation-Maximization for Protein Sequence Design,ICML_2023,Poster,Biology,,https://openreview.net/forum?id=QLD9ivPC9xn
,Improving Medical Predictions by Irregular Multimodal Electronic Health Records Modeling,ICML_2023,Poster,Healthcare,,https://openreview.net/forum?id=zi1iKanf9k
,Learning Distributions over Quantum Measurement Outcomes,ICML_2023,Poster,Physics,,https://proceedings.mlr.press/v202/gong23a.html
,Learning Neural Constitutive Laws from Motion Observations for Generalizable PDE Dynamics,ICML_2023,Poster,Math,Neural_Operater,https://proceedings.mlr.press/v202/ma23a.html
,Learning Neural PDE Solvers with Parameter-Guided Channel Attention,ICML_2023,Poster,Math,Neural_Operater,https://proceedings.mlr.press/v202/takamoto23a.html
,Learning Physical Models that Can Respect Conservation Laws,ICML_2023,Poster,Physics,,https://proceedings.mlr.press/v202/hansen23b.html
,Learning Subpocket Prototypes for Generalizable Structure-based Drug Design,ICML_2023,Poster,Chemistry,,https://proceedings.mlr.press/v202/zhang23z.html
,MolDiff: Addressing the Atom-Bond Inconsistency Problem in 3D Molecule Diffusion Generation,ICML_2023,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=gfGLMZR27W
,Multi-Fidelity Covariance Estimation in the Log-Euclidean Geometry,ICML_2023,Poster,Math,,https://openreview.net/forum?id=xPU9F90HjM
,Near-Optimal Quantum Coreset Construction Algorithms for Clustering,ICML_2023,Poster,Physics,,https://openreview.net/forum?id=9SPVCXs0zV4
,Neural Inverse Operators for Solving PDE Inverse Problems,ICML_2023,Poster,Math,Neural_Operater,https://proceedings.mlr.press/v202/molinaro23a.html
,Neural Network Approximations of PDEs Beyond Linearity: A Representational Perspective,ICML_2023,Poster,Math,Neural_Network,https://proceedings.mlr.press/v202/marwah23a.html
,NUNO: A General Framework for Learning Parametric PDEs with Non-Uniform Data,ICML_2023,Poster,Math,General,https://openreview.net/forum?id=KobAWlZL29
,Predicting Ordinary Differential Equations with Transformers,ICML_2023,Poster,Math,Transformers,https://openreview.net/forum?id=LztkK0UZxS
,ProtST: Multi-Modality Learning of Protein Sequences and Biomedical Texts,ICML_2023,Poster,Biology,Lanuage_Model,https://proceedings.mlr.press/v202/xu23t.html
,QASA: Advanced Question Answering on Scientific Articles,ICML_2023,Poster,General,Lanuage_Model,https://openreview.net/forum?id=5ud0h8OXwD
,QAS-Bench: Rethinking Quantum Architecture Search and A Benchmark,ICML_2023,Poster,Physics,General,https://openreview.net/forum?id=8oa0kysYVq6
,Q-Flow: Generative Modeling for Differential Equations of Open Quantum Dynamics with Normalizing Flows,ICML_2023,Poster,Physics,Generative_Model,https://openreview.net/forum?id=6rqa493Sxf
,Quantum 3D Graph Learning with Applications to Molecule Embedding,ICML_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=asLKnpJjKjc
,QuantumDARTS: Differentiable Quantum Architecture Search for Variational Quantum Algorithms,ICML_2023,Poster,Physics,,https://proceedings.mlr.press/v202/wu23v.html
,Random Grid Neural Processes for Parametric Partial Differential Equations,ICML_2023,Poster,Math,Neural_Operater,https://proceedings.mlr.press/v202/vadeboncoeur23a.html
,Rigid Body Flows for Sampling Molecular Crystal Structures,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=GAfus0XZCD
,SE(3) diffusion model with application to protein backbone generation,ICML_2023,Poster,Biology,Generative_Model,https://openreview.net/forum?id=m8OUBymxwv
,Social learning spontaneously emerges by searching optimal heuristics with deep reinforcement learning,ICML_2023,Poster,Social Science,Reindorcement_Learning,https://proceedings.mlr.press/v202/ha23a.html
,Solving High-Dimensional PDEs with Latent Spectral Models,ICML_2023,Poster,Math,,https://proceedings.mlr.press/v202/wu23f.html
,Structure-informed Language Models Are Protein Designers,ICML_2023,Poster,Biology,Lanuage_Model,https://proceedings.mlr.press/v202/zheng23a.html
,SurProGenes: Survival Risk-Ordered Representation of Cancer Patients and Genes for the Identification of Prognostic Genes,ICML_2023,Poster,Healthcare,General,https://openreview.net/forum?id=t4COq27gBs
,The Acquisition of Physical Knowledge in Generative Neural Networks,ICML_2023,Poster,Physics,Generative_Model,https://openreview.net/forum?id=C5lAsw1GCg
,Uncertainty Estimation for Molecules: Desiderata and Methods,ICML_2023,Poster,Biology,Graph_Neural_Network,https://proceedings.mlr.press/v202/wollschlager23a.html
,User-defined Event Sampling and Uncertainty Quantification in Diffusion Models for Physical Dynamical Systems,ICML_2023,Poster,Physics,Diffusion_Model,https://proceedings.mlr.press/v202/finzi23a.html
,Von Mises Mixture Distributions for Molecular Conformation Generation,ICML_2023,Poster,Chemistry,Generative_Model,https://proceedings.mlr.press/v202/swanson23a.html
