Title,Conference,Type,Application,MLTech,OpenReviewLink
Equivariant Energy-Guided SDE for Inverse Molecular Design,ICLR_2023,Poster,Chemistry,,https://openreview.net/forum?id=r0otLtOwYW
Equivariant Shape-Conditioned Generation of 3D Molecules for Ligand-Based Drug Design,ICLR_2023,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=4MbGnp4iPQ
GEASS: Neural causal feature selection for high-dimensional biological data,ICLR_2023,Poster,Biology,Neural_Network,https://openreview.net/forum?id=aKcS3xojnwY
HotProtein: A Novel Framework for Protein Thermostability Prediction and Editing,ICLR_2023,Poster,Biology,,https://openreview.net/forum?id=YDJRFWBMNby
How Much Space Has Been Explored? Measuring the Chemical Space Covered by Databases and Machine-Generated Molecules,ICLR_2023,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=Yo06F8kfMa1
Improved Training of Physics-Informed Neural Networks Using Energy-Based Priors: a Study on Electrical Impedance Tomography,ICLR_2023,Poster,Physics,,https://openreview.net/forum?id=zqkfJA6R1-r
Interneurons accelerate learning dynamics in recurrent neural networks for statistical adaptation,ICLR_2023,Poster,Neurosciences,Neural_Network,https://openreview.net/forum?id=3mlITJRYYbs
Learnable Topological Features For Phylogenetic Inference via Graph Neural Networks,ICLR_2023,Poster,Biology,Graph_Neural_Network ,https://openreview.net/forum?id=hVVUY7p64WL
Learning Controllable Adaptive Simulation for Multi-resolution Physics,ICLR_2023,Poster,Physics,,https://openreview.net/forum?id=PbfgkZ2HdbE
Learning Harmonic Molecular Representations on Riemannian Manifold,ICLR_2023,Poster,Biology,,https://openreview.net/forum?id=ySCL-NG_I3
Learning Hierarchical Protein Representations via Complete 3D Graph Networks,ICLR_2023,Poster,Biology,Graph_Neural_Network ,https://openreview.net/forum?id=9X-hgLDLYkQ
Learning Symbolic Models for Graph-structured Physical Mechanism,ICLR_2023,Poster,Physics,Graph_Neural_Network ,https://openreview.net/forum?id=f2wN4v_2__W
ManyDG: Many-domain Generalization for Healthcare Applications,ICLR_2023,Poster,Health_Care,,https://openreview.net/forum?id=lcSfirnflpW
MEDICAL IMAGE UNDERSTANDING WITH PRETRAINED VISION LANGUAGE MODELS: A COMPREHENSIVE STUDY,ICLR_2023,Poster,Medical_Sciences,Language_Model,https://openreview.net/forum?id=txlWziuCE5W
Meta-learning Adaptive Deep Kernel Gaussian Processes for Molecular Property Prediction,ICLR_2023,Poster,Chemistry,,https://openreview.net/forum?id=KXRSh0sdVTP
Mole-BERT: Rethinking Pre-training Graph Neural Networks for Molecules,ICLR_2023,Poster,Chemistry,Geometric_Deep_Learning,https://openreview.net/forum?id=jevY-DtiZTR
Molecular Geometry Pretraining with SE(3)-Invariant Denoising Distance Matching,ICLR_2023,Poster,Chemistry,,https://openreview.net/forum?id=CjTHVo1dvR
Molecule Generation For Target Protein Binding with Structural Motifs,ICLR_2023,Poster,Biology,Generative_Model,https://openreview.net/forum?id=Rq13idF0F73
Multi-level Protein Structure Pre-training via Prompt Learning,ICLR_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=XGagtiJ8XC
Neuromechanical Autoencoders: Learning to Couple Elastic and Neural Network Nonlinearity,ICLR_2023,Poster,Mechanics,Neural_Network,https://openreview.net/forum?id=QubsmJT_A0
One Transformer Can Understand Both 2D & 3D Molecular Data,ICLR_2023,Poster,Chemistry,Transformer,https://openreview.net/forum?id=vZTp1oPV3PC
On Pre-training Language Model for Antibody,ICLR_2023,Poster,Biology,Language_Model,https://openreview.net/forum?id=zaq4LV55xHl
PiFold: Toward effective and efficient protein inverse folding,ICLR_2023,Poster,Biology,,https://openreview.net/forum?id=oMsN9TYwJ0j
Predicting Cellular Responses with Variational Causal Inference and Refined Relational Information,ICLR_2023,Poster,Biology,Graph_Neural_Network ,https://openreview.net/forum?id=ICYasJBlZNs
Pre-training via Denoising for Molecular Property Prediction,ICLR_2023,Poster,Chemistry,Graph_Neural_Network ,https://openreview.net/forum?id=tYIMtogyee
Protein Representation Learning via Knowledge Enhanced Primary Structure Reasoning,ICLR_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=VbCMhg7MRmj
Protein Sequence and Structure Co-Design with Equivariant Translation,ICLR_2023,Poster,Biology,,https://openreview.net/forum?id=pRCMXcfdihq
Retrieval-based Controllable Molecule Generation,ICLR_2023,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=vDFA1tpuLvk
Rotamer Density Estimator is an Unsupervised Learner of the Effect of Mutations on Protein-Protein Interaction,ICLR_2023,Poster,Biology,,https://openreview.net/forum?id=_X9Yl1K2mD
Thalamus: a brain-inspired algorithm for biologically-plausible continual learning and disentangled representations,ICLR_2023,Poster,Biology,Neural_Network,https://iclr.cc//virtual/2023/poster/12052
Uni-Mol: A Universal 3D Molecular Representation Learning Framework,ICLR_2023,Poster,Chemistry,Representation_Learning,https://openreview.net/forum?id=6orC5MvgPBK
